tconst,primaryTitle,startYear,runtimeMinutes,genres,language,averageRating,numVotes,Drama,Fantasy,Thriller,Crime,Mystery,Sci-Fi,Romance,Film-Noir,Documentary,History,Horror,Biography,War,Western,Comedy,Action,Adventure,Family,Music,Musical,Sport,Animation,Adult,News,title_lower,image
tt0032976,Rebecca,1940,130,"Drama,Mystery,Romance",fr,8.1,125593,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rebecca,https://image.tmdb.org/t/p/original/3Gla0nxHboX3nxQzaU4SoqOtTjh.jpg
tt0034248,Suspicion,1941,99,"Film-Noir,Mystery,Thriller",fr,7.4,33371,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,suspicion,https://image.tmdb.org/t/p/original/76zZNcz3pR2EEUwAKLO1MTHkVDa.jpg
tt0035279,Saboteur,1942,109,"Thriller,War",fr,7.1,23737,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,saboteur,https://image.tmdb.org/t/p/original/lHxHdcUEmomTDPssLwevpgruWEI.jpg
tt0036342,Shadow of a Doubt,1943,108,"Film-Noir,Thriller",fr,7.8,60321,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shadow of a doubt,https://image.tmdb.org/t/p/original/ptyWagbWE8jSGyV2tGEzAdVbRCj.jpg
tt0038109,Spellbound,1945,111,"Film-Noir,Mystery,Romance",fr,7.6,43972,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spellbound,https://image.tmdb.org/t/p/original/5p4i6CDQAJiC9Acm45aojlDan18.jpg
tt0038787,Notorious,1946,102,"Drama,Film-Noir,Romance",fr,7.9,93134,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,notorious,https://image.tmdb.org/t/p/original/yUjKnpColooH88BFQJwwgNOQ56N.jpg
tt0042994,Stage Fright,1950,110,"Film-Noir,Mystery,Thriller",fr,7.1,12938,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stage fright,https://image.tmdb.org/t/p/original/vEys21QtIIah9iYZ37W9BjkaB2U.jpg
tt0044079,Strangers on a Train,1951,101,"Crime,Film-Noir,Thriller",fr,7.9,124300,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers on a train,https://image.tmdb.org/t/p/original/ihC083U7ef56Ui4x0P0dobojrZ1.jpg
tt0045897,I Confess,1953,95,"Crime,Drama,Thriller",fr,7.3,19316,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i confess,https://image.tmdb.org/t/p/original/5IYyJetEctAypFYIffqx55PXTPT.jpg
tt0046912,Dial M for Murder,1954,105,"Crime,Thriller",fr,8.2,160571,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dial m for murder,https://image.tmdb.org/t/p/original/xrpK1PyckNWmRxU4kZURfaCyboS.jpg
